SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023HU0825095,2,10,13,36330,2,0,0,-1,36330,0,10,27,2,1,02,4,1,b
2023HU0825100,1,78,77,295000,2,0,0,-1,-60000,2800,13,27,1,7,04,4,1,2
2023HU0825100,2,78,80,295000,2,0,0,-1,-60000,2800,13,27,1,7,04,4,3,b
2023HU0825221,1,20,20,30300,2,0,0,-1,30300,0,16,27,2,1,02,4,1,b
2023HU0825221,2,20,17,30300,2,0,0,-1,30300,0,16,27,2,1,02,4,1,b
2023HU0825276,1,248,247,100700,3,0,0,-1,100700,1600,21,27,1,1,02,4,1,b
2023HU0825276,2,248,222,100700,3,0,0,-1,100700,1600,21,27,1,1,02,4,1,b
2023HU0825276,3,248,175,100700,3,0,0,-1,100700,1600,21,27,1,1,02,4,1,2
2023HU0825370,1,30,31,112700,3,0,0,-1,112700,0,14,27,2,1,02,4,1,b
2023HU0825370,2,30,26,112700,3,0,0,-1,112700,0,14,27,2,1,02,4,1,b
2023HU0825370,3,30,5,112700,3,0,0,-1,112700,0,14,27,2,1,02,4,1,b
2023HU0825504,1,84,85,37300,1,0,23,-1,-60000,0,0,27,3,6,05,4,1,2
2023HU0825506,1,44,45,117540,4,2,0,-1,117540,1300,17,27,1,1,01,2,1,2
2023HU0825506,2,44,73,117540,4,2,0,-1,117540,1300,17,27,1,1,01,2,1,b
2023HU0825506,3,44,45,117540,4,2,0,-1,117540,1300,17,27,1,1,01,2,1,2
2023HU0825506,4,44,64,117540,4,2,0,-1,117540,1300,17,27,1,1,01,2,1,b
2023HU0825526,1,22,23,32900,2,0,0,-1,32900,540,39,27,1,1,02,4,1,b
2023HU0825526,2,22,20,32900,2,0,0,-1,32900,540,39,27,1,1,02,4,1,b
2023HU0825546,1,187,187,49500,2,0,19,-1,-60000,0,0,27,3,7,04,4,1,2
2023HU0825546,2,187,220,49500,2,0,19,-1,-60000,0,0,27,3,7,04,4,1,b
2023HU0825633,1,16,17,69800,2,0,0,-1,69800,0,13,27,2,2,11,4,1,b
2023HU0825633,2,16,2,69800,2,0,0,-1,69800,0,13,27,2,2,11,4,1,b
2023HU0825675,1,52,51,180000,3,0,0,-1,-60000,0,5,27,2,5,04,4,4,b
2023HU0825675,2,52,79,180000,3,0,0,-1,-60000,0,5,27,2,5,04,4,1,2
2023HU0825675,3,52,26,180000,3,0,0,-1,-60000,0,5,27,2,5,04,4,1,b
2023HU0825737,1,115,114,137200,3,1,0,-1,137200,2200,21,27,1,1,01,2,1,2
2023HU0825737,2,115,151,137200,3,1,0,-1,137200,2200,21,27,1,1,01,2,1,b
2023HU0825737,3,115,133,137200,3,1,0,-1,137200,2200,21,27,1,1,01,2,1,b
2023HU0825811,1,95,95,59700,2,0,0,-1,59700,1700,54,27,1,1,02,4,3,b
2023HU0825811,2,95,99,59700,2,0,0,-1,59700,1700,54,27,1,1,02,4,3,b
2023HU0825949,1,34,33,15000,1,0,90,-1,-60000,0,0,27,3,6,05,4,1,b
2023HU0826037,1,34,33,182900,4,0,0,-1,182900,890,8,27,1,1,02,4,1,b
2023HU0826037,2,34,18,182900,4,0,0,-1,182900,890,8,27,1,1,02,4,1,2
2023HU0826037,3,34,17,182900,4,0,0,-1,182900,890,8,27,1,1,02,4,1,b
2023HU0826037,4,34,39,182900,4,0,0,-1,182900,890,8,27,1,1,02,4,1,2
2023HU0826044,1,58,58,13900,1,0,80,-1,-60000,0,0,27,3,6,05,4,1,b
2023HU0826064,1,120,120,65000,2,0,0,-1,65000,0,8,27,2,1,02,4,1,b
2023HU0826064,2,120,140,65000,2,0,0,-1,65000,0,8,27,2,1,02,4,1,b
2023HU0826156,1,23,23,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,b
2023HU0826156,2,23,28,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,2
2023HU0826156,3,23,21,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,b
2023HU0826156,4,23,20,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,b
2023HU0826156,5,23,28,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,b
2023HU0826156,6,23,17,90000,6,4,0,-1,90000,0,0,27,4,1,01,3,1,b
2023HU0826208,1,147,148,70720,2,0,0,-1,70720,1500,47,27,1,1,02,4,1,b
2023HU0826208,2,147,183,70720,2,0,0,-1,70720,1500,47,27,1,1,02,4,1,b
2023HU0826270,1,234,233,30000,1,0,50,-1,-60000,0,0,27,3,6,05,4,1,2
2023HU0826358,1,17,17,97700,2,0,0,-1,97700,1600,34,27,1,1,02,4,1,b
2023HU0826358,2,17,26,97700,2,0,0,-1,97700,1600,34,27,1,1,02,4,1,b
2023HU0826517,1,150,150,55000,1,0,21,-1,-60000,0,0,27,3,4,09,4,1,b
2023HU0826529,1,48,48,19300,1,0,0,-1,-60000,0,29,27,2,6,05,4,1,b
2023HU0826730,1,18,17,21100,1,0,0,-1,-60000,0,31,27,2,4,09,4,1,b
2023HU0826973,1,15,15,81200,2,0,0,-1,81200,610,13,27,1,1,02,4,1,b
2023HU0826973,2,15,15,81200,2,0,0,-1,81200,610,13,27,1,1,02,4,1,b
2023HU0827025,1,124,124,211000,2,0,0,-1,211000,1100,11,27,1,1,02,4,1,b
